altura_cm,edad_anios,percentil,distancia_m,unidad,fuente
160,40,97.5,697,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
160,50,97.5,695,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
160,60,97.5,675,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
160,70,97.5,625,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
160,80,97.5,574,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,40,2.5,474,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,50,2.5,472,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,60,2.5,451,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,70,2.5,401,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,80,2.5,351,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,40,10,507,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,50,10,505,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,60,10,485,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,70,10,435,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,80,10,384,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,40,25,549,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,50,25,546,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,60,25,526,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,70,25,476,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,80,25,425,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,40,50,593,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,50,50,590,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,60,50,570,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,70,50,520,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,80,50,469,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,40,75,629,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,50,75,627,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,60,75,607,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,70,75,557,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,80,75,506,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,40,90,668,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,50,90,666,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,60,90,646,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,70,90,595,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,80,90,545,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,40,97.5,716,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,50,97.5,714,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,60,97.5,694,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,70,97.5,643,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
170,80,97.5,593,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,40,2.5,492,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,50,2.5,490,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,60,2.5,470,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,70,2.5,419,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,80,2.5,369,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,40,10,526,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,50,10,524,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,60,10,503,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
