sexo,edad_rango,percentil,fuerza_kg,unidad,fuente
Hombre,45-49,80,56.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,45-49,90,60.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,45-49,95,64.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,50-54,5,28.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,50-54,10,32.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,50-54,20,37.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,50-54,30,40.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,50-54,40,43.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,50-54,50,46.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,50-54,60,48.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,50-54,70,51.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,50-54,80,54.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,50-54,90,59.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,50-54,95,63.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,55-59,5,27.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,55-59,10,31.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,55-59,20,35.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,55-59,30,38.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,55-59,40,41.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,55-59,50,44.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,55-59,60,47.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,55-59,70,49.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,55-59,80,53.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,55-59,90,57.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,55-59,95,61.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,60-64,5,25.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,60-64,10,29.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,60-64,20,33.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,60-64,30,36.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,60-64,40,39.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,60-64,50,42.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
